model,signature,kind,T3,detector,is_viyog,dataset
resnet50,G_tv_mean,Far,0.977,TV (mean),False,CIFAR-10
resnet50,G_hf_mean,Far,0.938,Viyog-HF,True,CIFAR-10
resnet50,A_inf_norm,Far,0.543,raw L∞,False,CIFAR-10
swin_tiny,Viyog_D*(tv|p5|adapt),Far,0.996,Viyog-D (TV),True,CIFAR-10
swin_tiny,G_tv_mean,Far,0.976,TV (mean),False,CIFAR-10
swin_tiny,G_hf_mean,Far,0.954,Viyog-HF,True,CIFAR-10
swin_tiny,A_inf_norm,Far,0.515,raw L∞,False,CIFAR-10
convnextv2_base,Viyog_D*(tv|p5|adapt),Near,0.634,Viyog-D (TV),True,CIFAR-10
convnextv2_base,G_tv_mean,Near,0.847,TV (mean),False,CIFAR-10
convnextv2_base,G_hf_mean,Near,0.991,Viyog-HF,True,CIFAR-10
convnextv2_base,A_inf_norm,Near,0.88,raw L∞,False,CIFAR-10
densenet121,Viyog_D*(tv|p5|adapt),Near,0.503,Viyog-D (TV),True,CIFAR-10
densenet121,G_tv_mean,Near,0.659,TV (mean),False,CIFAR-10
densenet121,G_hf_mean,Near,0.827,Viyog-HF,True,CIFAR-10
densenet121,A_inf_norm,Near,0.944,raw L∞,False,CIFAR-10
resnet50,Viyog_D*(tv|p5|adapt),Near,0.738,Viyog-D (TV),True,CIFAR-10
resnet50,G_tv_mean,Near,0.61,TV (mean),False,CIFAR-10
resnet50,G_hf_mean,Near,0.831,Viyog-HF,True,CIFAR-10
resnet50,A_inf_norm,Near,0.573,raw L∞,False,CIFAR-10
swin_tiny,Viyog_D*(tv|p5|adapt),Near,0.731,Viyog-D (TV),True,CIFAR-10
swin_tiny,G_tv_mean,Near,0.737,TV (mean),False,CIFAR-10
swin_tiny,G_hf_mean,Near,0.959,Viyog-HF,True,CIFAR-10
swin_tiny,A_inf_norm,Near,0.762,raw L∞,False,CIFAR-10
convnextv2_base,Viyog_D*(tv|p5|adapt),Texture,0.804,Viyog-D (TV),True,CIFAR-10
convnextv2_base,G_tv_mean,Texture,0.905,TV (mean),False,CIFAR-10
convnextv2_base,G_hf_mean,Texture,0.982,Viyog-HF,True,CIFAR-10
convnextv2_base,A_inf_norm,Texture,0.704,raw L∞,False,CIFAR-10
densenet121,Viyog_D*(tv|p5|adapt),Texture,0.784,Viyog-D (TV),True,CIFAR-10
densenet121,G_tv_mean,Texture,0.866,TV (mean),False,CIFAR-10
densenet121,G_hf_mean,Texture,0.95,Viyog-HF,True,CIFAR-10
densenet121,A_inf_norm,Texture,0.748,raw L∞,False,CIFAR-10
resnet50,Viyog_D*(tv|p5|adapt),Texture,0.54,Viyog-D (TV),True,CIFAR-10
resnet50,G_tv_mean,Texture,0.842,TV (mean),False,CIFAR-10
